,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,113,"Helium
HNT",$4.24,0.14%,13.01%,2.71%,"$751,897,760","$19,142,653
4,513,589 HNT","177,287,733 HNT",
,114,"USDD
USDD",$0.9975,0.01%,0.09%,0.02%,"$741,629,345","$3,943,031
3,953,038 USDD","743,511,498 USDD",
,115,"ApeCoin
APE",$0.9744,0.37%,9.18%,0.75%,"$733,350,819","$88,058,296
90,375,858 APE","752,651,515 APE",
,116,"Reserve Rights
RSR",$0.01331,0.38%,9.54%,9.65%,"$730,927,077","$85,149,107
6,396,016,063 RSR","54,903,938,665 RSR",
,117,"Zcash
ZEC",$44.76,0.23%,8.67%,6.69%,"$730,863,816","$93,952,790
2,099,004 ZEC","16,328,269 ZEC",
,118,"ai16z
AI16Z",$0.6561,0.66%,7.93%,27.22%,"$721,761,225","$166,063,930
253,089,510 AI16Z","1,099,999,227 AI16Z",
,119,"Morpho
MORPHO",$3.24,0.87%,3.23%,1.18%,"$702,891,918","$51,526,253
15,918,801 MORPHO","217,155,256 MORPHO",
,120,"Chiliz
CHZ",$0.07325,0.17%,14.78%,0.51%,"$686,720,019","$76,958,858
1,050,561,670 CHZ","9,374,381,958 CHZ",
,121,"Tether Gold
XAUt","$2,783.51",0.16%,1.63%,1.43%,"$686,201,474","$11,333,876
4,072 XAUT","246,524 XAUt",
,122,"Core
CORE",$0.7228,0.73%,6.02%,11.27%,"$677,546,647","$33,769,362
46,718,814 CORE","937,363,735 CORE",
,123,"Wormhole
W",$0.2373,1.64%,13.09%,6.76%,"$674,205,437","$85,978,471
362,269,442 W","2,840,757,978 W",
,124,"EigenLayer
EIGEN",$2.80,0.47%,12.17%,10.04%,"$657,172,751","$183,959,296
65,776,226 EIGEN","234,977,761 EIGEN",
,125,"Akash Network
AKT",$2.61,0.09%,7.46%,4.55%,"$648,667,137","$10,205,313
3,906,216 AKT","248,285,795 AKT",
,126,"eCash
XEC",$0.00003222,0.17%,5.52%,1.41%,"$638,512,892","$39,641,899
1,230,422,598,964 XEC","19,818,442,172,584 XEC",
,127,"Compound
COMP",$70.87,0.61%,4.55%,6.84%,"$628,589,266","$50,259,998
709,260 COMP","8,869,094 COMP",
,128,"Gigachad (gigachadsolana.com)
GIGA",$0.06673,1.26%,21.53%,1.62%,"$620,713,311","$24,810,859
371,831,616 GIGA","9,302,411,888 GIGA",
,129,"Amp
AMP",$0.007363,0.28%,3.22%,6.08%,"$620,196,872","$27,996,037
3,808,103,870 AMP","84,231,565,354 AMP",
,130,"Pendle
PENDLE",$3.60,0.26%,13.40%,3.19%,"$592,142,811","$65,774,137
18,251,178 PENDLE","164,617,873 PENDLE",
,131,"PancakeSwap
CAKE",$2.01,0.18%,5.54%,4.79%,"$583,188,008","$46,060,054
22,907,892 CAKE","290,047,596 CAKE",
,132,"Mina
MINA",$0.4689,0.62%,6.62%,5.06%,"$568,108,370","$31,934,892
68,102,533 MINA","1,211,515,558 MINA",
